Fold,Method,Alpha,Budget,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
5,RACT,0.1,0.3,0.20192697640316604,0.11030484960236094,0.11634370078831385,0.10937328834859042,0.16651582463024103,0.06711690956457145,0.02975470390294265,0.041754833782080315,0.037135524010722516,0.016623622793570717,0.024068527572650506,0.02914237249129474,0.018099881836706265,0.03183898427278871
6,Baseline,0.0,0.3,0.1904114380296708,0.10958316086803395,0.12381527471895953,0.11825346524056002,0.16701356260144024,0.05871642523054022,0.03539236461925595,0.04090582879157171,0.029725987416896804,0.01450082293466557,0.023382880791765686,0.029295095534138737,0.023552185251441902,0.03545150797105887
6,Baseline (OAF),0.0,0.3,0.26281897392533754,0.16557658363460448,0.15685375432624946,0.14704820993037981,0.18026595662728256,0.0,0.0,0.0,0.0,0.0,0.0,0.06582004956312226,0.021616471993024012,0.0
6,RACT,0.02,0.3,0.1931087012237908,0.09388686612088114,0.10972812637563852,0.1327797528511616,0.1717729303627552,0.058049693387485855,0.026851004693088147,0.04055409666195224,0.03427560861744696,0.02055841033107809,0.025423974774193434,0.03040678533365125,0.02228757566965499,0.04031647359722176
6,RACT,0.04,0.3,0.1936165656716732,0.09917602554301126,0.11863317658058474,0.11666288004955616,0.1726950461990253,0.061675848102158495,0.030190608233770316,0.037797156167761546,0.036301758040841334,0.02185764126446789,0.019456265795015,0.03277787749258505,0.02232439259246943,0.03683475826708042
6,RACT,0.06,0.3,0.18422873847929322,0.10776803844328106,0.13379179259396787,0.1239795092817465,0.16914345393702673,0.05513246314877843,0.03149128075220838,0.044458514369192785,0.03421901933360084,0.017057064457849293,0.022512788850306727,0.022344227515357796,0.017611019182892238,0.036262089654498085
6,RACT,0.08,0.3,0.18242832418406593,0.1110780641286553,0.11288493337256113,0.12695220094709636,0.17458591817969726,0.06460700155572938,0.02925889369089269,0.039411709761202285,0.03179138250206297,0.01638410883925789,0.02145709069594856,0.026893091774160337,0.022302322678825086,0.0399649576898448
6,RACT,0.1,0.3,0.19620471321831912,0.09830719135285697,0.1221131030547401,0.11580921554275096,0.17562102202327493,0.06218171361108427,0.034199401386235735,0.04274959611086519,0.026759991154044732,0.014171037658719866,0.025784853148757773,0.02788176528770308,0.02020018865205675,0.03801620779859062
7,Baseline,0.0,0.3,0.19743261370278992,0.10989267750349647,0.1117694478685589,0.11287752425544478,0.15848002962867702,0.06607431465325062,0.0389683441326644,0.043018788046799594,0.03428885656228732,0.017102551025082194,0.024849182808927006,0.026184367762003422,0.021489771577238515,0.0375715304727799
7,Baseline (OAF),0.0,0.3,0.2623125570415548,0.14861116508677205,0.1549600404677261,0.16187691523951833,0.18576775075987215,0.0,0.0,0.0,0.0,0.0,0.0,0.06993203331026168,0.016539538094294787,0.0
7,RACT,0.02,0.3,0.20573580032350974,0.0902367351336907,0.11376397465641085,0.11199447201838023,0.16924853695514916,0.06280994215792755,0.03197175882900284,0.045182984311160045,0.030873422645800695,0.020635989267632944,0.022648857626293078,0.03077687614214168,0.022813204154735273,0.04130744577816522
7,RACT,0.04,0.3,0.1924397031584342,0.1031180204582936,0.11137089110072272,0.11152950281515384,0.17164494269800262,0.06333247271009766,0.03957483903820428,0.04417762651328403,0.032107576584597744,0.01750102034139144,0.02245941892549092,0.029149717882303968,0.019453888653055078,0.04214037912096803
7,RACT,0.06,0.3,0.18643488077145645,0.10856220357933162,0.11885445263291394,0.10902522508390966,0.18051158695817687,0.06434181534535509,0.030762198164905257,0.04474826769531777,0.030969808508464664,0.015059490573950913,0.024004002370453047,0.027330958819700844,0.021913816921024967,0.03748129257503897
7,RACT,0.08,0.3,0.17687364826580493,0.10383668987364192,0.13614913558082725,0.12356949294819758,0.1624514579400156,0.06343538397226904,0.037036643066919256,0.041864290037533856,0.03203826566166026,0.01759205180809044,0.019033147455600734,0.028413705778776024,0.01808461608680032,0.039621471523862736
7,RACT,0.1,0.3,0.18870315519925748,0.11076463874665109,0.11587257420482673,0.11183366192236831,0.1700262287091642,0.06121824547980258,0.040154419251522896,0.04476922586613203,0.03207992443586294,0.015221867321896726,0.022241106346421555,0.029982749166535386,0.019721704423125954,0.03741049892643213
8,Baseline,0.0,0.3,0.19661016312455742,0.10631169563371455,0.10236632094409744,0.11358626926573319,0.1634045170783778,0.06470813650344298,0.02591144019549703,0.045314949374747795,0.03749042378851022,0.018846566801842924,0.023029580883223027,0.03526107177039435,0.02179401902247075,0.04536484561339057
8,Baseline (OAF),0.0,0.3,0.2617443479883847,0.15427093946965278,0.14767350074930913,0.15347127764663596,0.19469569744787646,0.0,0.0,0.0,0.0,0.0,0.0,0.0705280222041047,0.017616214494036213,0.0
8,RACT,0.02,0.3,0.18409256270765703,0.10077522005725963,0.11120202647262739,0.12699743907440753,0.16786758858055623,0.06431876061819608,0.027396320151823205,0.035948524142812764,0.045958096507265705,0.019887644458123577,0.025169287409045667,0.033268701702529206,0.018706397878999692,0.03841143023869638
8,RACT,0.04,0.3,0.19565883306966927,0.10605868425105261,0.10942744787005054,0.11130875835953662,0.16860644378966744,0.06465861907415206,0.027931034887116523,0.043970936733265194,0.038103302758403824,0.017608175876839473,0.02210209451521568,0.032782736330892355,0.022055790865786344,0.039727141618351954
8,RACT,0.06,0.3,0.1933381145706978,0.10012898428218313,0.10723614314334429,0.1130942304855037,0.17137261467433967,0.0658620355587293,0.03751140462575526,0.04326701966621987,0.033087793529554356,0.018375729427410302,0.025641549669881386,0.03305661079673433,0.0177264724934106,0.04030129707623586
8,RACT,0.08,0.3,0.18208092365297462,0.10663969929673445,0.12727231186730562,0.10776632783742388,0.18014593860700337,0.06719805056133323,0.03073837184626941,0.03866569443430072,0.03578508550842212,0.013601628871692606,0.022456984875044463,0.03066757266853866,0.02071883351722613,0.036262576455730514
8,RACT,0.1,0.3,0.1869151101613625,0.10330844567716647,0.11412642364589792,0.12286405440057313,0.17849486285722857,0.06392883809836009,0.026561313624802272,0.04326021347483889,0.033774176157059056,0.014726183549217516,0.020162526324828133,0.031136658232270166,0.02160241596746842,0.0391387778289269
9,Baseline,0.0,0.3,0.1983296505123788,0.10480771576294769,0.10975419487015033,0.11639042583277515,0.1595878171390589,0.06841961186408815,0.029630768112635063,0.04370477614528952,0.03865310981187352,0.01415085190404127,0.021077761528122022,0.029435546954120505,0.022606347493828085,0.04345142206869107
9,Baseline (OAF),0.0,0.3,0.2799756900307468,0.14981716376716955,0.13033264376990236,0.17148585963141663,0.18393516251686048,0.0,0.0,0.0,0.0,0.0,0.0,0.06636167509505095,0.018091805188853276,0.0
9,RACT,0.02,0.3,0.19272615178964655,0.09633943903521788,0.10657374568109076,0.11904033576869576,0.16451697067796425,0.06296344971764112,0.033844438355549976,0.04254210483892469,0.03862776234997678,0.020960022806932512,0.02136686791038381,0.02876538694358207,0.026794599461330358,0.04493872466306327
9,RACT,0.04,0.3,0.19442490643187127,0.09313495213739469,0.12396505478567377,0.12372270318246789,0.17109486317922892,0.056597246926551825,0.030314061983761104,0.04117489982931325,0.03365137823882918,0.013192165945613782,0.02733435295477893,0.03193452210411693,0.021649124133731427,0.03780976816666691
