Fold,Method,Alpha,Budget,N_ESTIMATORS,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
3,RACT,1.0,0.3,400,0.12044154851657057,0.10035759394623367,0.06749447325100719,0.07697376374363607,0.056872380520531465,0.035179448751762356,0.04114417893534367,0.13728921563289945,0.09058588566301119,0.028878852731430205,0.012644510666186689,0.030143800597532015,0.10552678805736306,0.04194934404777751,0.018091769877447365,0.03642644506126761
4,Baseline,0.0,0.3,100,0.060448319831003856,0.053643795940980385,0.0381822073401029,0.04841203628621462,0.043288949840660396,0.020167251524311543,0.037003305062175106,0.14540525528830325,0.12588717805887842,0.046361464912578476,0.0365595500239146,0.03287835393109494,0.10910660150188917,0.07417292395246543,0.03004927628648331,0.09843353021894362
4,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.13699994244159222,0.2338165099523594,0.1826381365207528,0.11361372241580692,0.07359920353369287,0.08133030003320825,0.13196897932462864,0.04603320577795894,0.0,0.0
4,RACT,0.2,0.3,100,0.06779605121724377,0.0678998346200913,0.03887462696325575,0.04158742005244849,0.045402993707262515,0.022320571087223778,0.03502365620038271,0.1461147733507017,0.12430514161624258,0.03590792912422917,0.020484557830358463,0.03656919840526707,0.13030914079520187,0.06625779439522768,0.018543668711599532,0.1026026419232636
4,RACT,0.4,0.3,100,0.08205922093569873,0.07098551405000111,0.04365010583913823,0.05477454152531361,0.041241257286958946,0.024725172593253835,0.04156086956351125,0.1573962487582066,0.11538187573812114,0.023558517744169057,0.013218870077821,0.03799619502640274,0.12024337989446841,0.06155044645631178,0.015608845272453724,0.09604893923816986
4,RACT,0.6,0.3,100,0.10427478722519846,0.08273765390860764,0.07447015087940541,0.05215665620260993,0.047295855341990274,0.025854614532525227,0.0305588288567583,0.12887819339207243,0.09877386498718273,0.028650514684799486,0.011023268617746735,0.037583329836148704,0.10272359403110295,0.05250331770085302,0.012223245159935505,0.11029212464306314
4,RACT,0.8,0.3,100,0.11568124113235477,0.09736921472525109,0.06522150823732152,0.061716110731957034,0.04782589732274558,0.03400615466283079,0.037853978139104655,0.1208901089512594,0.10000688535715786,0.029342138018209094,0.015416683902629492,0.02381104178604834,0.11283558751601461,0.03828455234228187,0.016863948959283,0.08287494821555096
4,RACT,1.0,0.3,100,0.11655611080478685,0.10617622005325099,0.07228491447067235,0.06963838159588714,0.047229426888806894,0.03733004144305375,0.03158765527286318,0.13518601348321277,0.09623472550623696,0.03523341444264695,0.013207914902832567,0.030224135899845073,0.10987786896924465,0.04624660666292171,0.020550177347550994,0.03243639225618716
4,Baseline,0.0,0.3,400,0.06534592519179169,0.058091774933568034,0.03968164388656436,0.048034332932139226,0.04017026613568704,0.021509612889106234,0.04050300208709138,0.13872980123738377,0.12347118753010931,0.04765766540195195,0.02955922658801891,0.029862201437042067,0.11092253303349674,0.07827319601834808,0.025702640212220563,0.10248499048548058
4,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.1718480958190572,0.22405873860683503,0.1576743310930205,0.10794741626413089,0.07767371072818245,0.06511217287432369,0.1433021745640343,0.052383360050415946,0.0,0.0
4,RACT,0.2,0.3,400,0.08266225780972379,0.07215298910939232,0.051384173839632695,0.04699358321642424,0.034485837555035516,0.021670276058568985,0.03436682381798629,0.14531890885222096,0.11662594734975769,0.031085636748199367,0.01718038331706835,0.03327493900265781,0.12481679536280904,0.0660239237034052,0.021383584625076047,0.10057393963204171
4,RACT,0.4,0.3,400,0.0921095510943799,0.06206841145921758,0.04552876814798285,0.049982146206289615,0.04385520996756226,0.02520242506745408,0.03680521973819207,0.14098122531608295,0.11920313184221423,0.027427199596797514,0.013148248304548625,0.035877354410886915,0.12874619072100552,0.06862597425076114,0.016262340144830557,0.09417660373179425
4,RACT,0.6,0.3,400,0.10685477743106267,0.07748042983455038,0.061109333405027534,0.06233725571644478,0.04799423344255819,0.02932796059442096,0.033968719941055,0.1290764159974268,0.10503268807932674,0.027399277570689565,0.01481349329569252,0.031728721370164706,0.10828913971793559,0.04859779166939488,0.0180538254862903,0.09793593644795934
4,RACT,0.8,0.3,400,0.12655857382862745,0.09384133889189972,0.07118241073178214,0.06388301383324306,0.05006804580867556,0.03766236268608385,0.03261457043802045,0.13081173351770814,0.08479252609988841,0.025029520337681244,0.016039724416242556,0.030803209956220563,0.11106639975465982,0.03605354340814309,0.01846347918834782,0.07112954710277616
4,RACT,1.0,0.3,400,0.12706714281588058,0.10440215766940396,0.07616012768798941,0.06496334518320487,0.05145290236685362,0.03727588121944269,0.044820427846388115,0.13107756671934329,0.08867448860966864,0.030345213202115903,0.012001800556068287,0.029722316518720735,0.10841122573960676,0.04137459884871188,0.016117725016001828,0.03613308000059944
5,Baseline,0.0,0.3,100,0.07087431238097348,0.057177216124107096,0.040697785589709615,0.049863196796347126,0.040848776913082904,0.01584269691613916,0.04056581703722789,0.14396059337440273,0.13028810885140518,0.048891917840905644,0.027976678646005705,0.02895911989645927,0.09443980193652307,0.07597255815678235,0.033364312177704546,0.10027710736222413
5,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1509182465506256,0.255772808770654,0.17349470270728687,0.10397009498670433,0.06926296939588046,0.0524656681259372,0.13956132354496137,0.054554185917950124,0.0,0.0
5,RACT,0.2,0.3,100,0.07981606771187495,0.05566933244013907,0.04362218841594362,0.06474802074238663,0.038229732968446097,0.031150245257831197,0.030517169623260378,0.14014450920533655,0.12441108911544667,0.03249552130301325,0.018192965365809825,0.027240138446758166,0.11794960069451572,0.074860340751195,0.024062179321535763,0.09689089863650711
5,RACT,0.4,0.3,100,0.08490673651817451,0.05466066052773508,0.04674635247721698,0.06752913361933463,0.036565680696320574,0.026810777187303028,0.03360452910143948,0.13146917116040896,0.13189787788362828,0.030416231301101354,0.014599040087601132,0.03569386295741548,0.11413955818257479,0.07532951530831583,0.017056189009554676,0.09857468398187519
5,RACT,0.6,0.3,100,0.10393465312195647,0.10164437219795663,0.0579355847431746,0.06077416237249169,0.04496632859500782,0.03155256384728016,0.03535678148228397,0.13469557285861175,0.08836431498602312,0.027226135459566096,0.011740247599564277,0.031164057807946018,0.09412794696793715,0.05508547644608367,0.02367037427283919,0.09776142724127741
5,RACT,0.8,0.3,100,0.107322151919056,0.11040972794587688,0.07163643592884614,0.06359131182566191,0.053932163756016886,0.030642238859661827,0.04277969440484586,0.1177310115082247,0.0751147872500339,0.027659492024482875,0.01948494557068411,0.027406751980648427,0.09640910220456714,0.05053700410706252,0.02866358728019544,0.07667959343413543
5,RACT,1.0,0.3,100,0.12230316255040442,0.09599020315915338,0.08845522400309425,0.07642319334354016,0.053581679696187455,0.035335981871216074,0.04742020475026392,0.1277885081481913,0.09739157729553291,0.02976113927945959,0.014356466285895533,0.02051952700701567,0.10050032003563562,0.049183261570333404,0.01462270924486295,0.026366841759213312
5,Baseline,0.0,0.3,400,0.06364053774107967,0.05879455193514545,0.043022419371066045,0.05057752073894432,0.042261424891750915,0.023421777835034567,0.03866834386171977,0.14170243832853652,0.12329781755678218,0.049526265381497174,0.030029596946252634,0.03184649222433324,0.10518512048057188,0.07576392918010048,0.025327746854455543,0.09693401667272966
5,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.17898818637742603,0.2373984639086777,0.16703913020953132,0.09814532378260257,0.0766257902938547,0.07039993724947727,0.1190125219385774,0.052390646239852935,0.0,0.0
5,RACT,0.2,0.3,400,0.0791061200374359,0.06333260779143529,0.048268583057268374,0.04311171382831977,0.037091753433136476,0.019693488242058174,0.03728946308741089,0.1445213508898846,0.12071891388658786,0.031041141445554567,0.016728993388421275,0.03261087708778404,0.12533220445457968,0.07335667717341825,0.024029210062371045,0.1037669021343338
5,RACT,0.4,0.3,400,0.1004302772766298,0.0643964086959616,0.048098862422180665,0.05333916431690727,0.041269271415444966,0.0253887490111183,0.03859628411038542,0.14235845280300335,0.11973721144259798,0.02427542134407288,0.013760750817512732,0.03531913156831551,0.11400043651049843,0.06576337033524467,0.01788864644541449,0.09537756148471194
5,RACT,0.6,0.3,400,0.11918704778370183,0.09244882114186492,0.06727360850901727,0.06111085937031594,0.041564503854208956,0.02720803804678404,0.030896524679717388,0.13372668122085352,0.08752465311387164,0.02480860479295876,0.013273253770348865,0.02996777502302236,0.10686148613947942,0.050258765942045654,0.01915542458519162,0.09473395202661784
5,RACT,0.8,0.3,400,0.12244131504653291,0.10608901053944719,0.07189421067407421,0.07014356325844934,0.04939274157957657,0.030382932208301787,0.04105499021995658,0.11407447421782475,0.086556946945773,0.027406445678997225,0.013522067670803451,0.027635873959341938,0.09173023156799048,0.0474245425613354,0.01897874666053885,0.08127190721105622
5,RACT,1.0,0.3,400,0.11745163261546347,0.10481514429208022,0.08251715589097534,0.0755601383405514,0.06117497593524018,0.030921337736518947,0.04179416253142579,0.12879836147315574,0.0930051533068846,0.032048037177710174,0.011632755399318654,0.02578143035569808,0.10179820834391988,0.04279469931082887,0.017870613865873707,0.03203619342435491
6,Baseline,0.0,0.3,100,0.06680401017514853,0.058728852834107094,0.045161694070708684,0.06001437489042008,0.04150633641800397,0.024757890116119247,0.037425685816102394,0.1367162336862486,0.11472787267160188,0.04910904611034445,0.025961189599535032,0.030996100228948307,0.11057538122120769,0.07416883464907607,0.02702072495449751,0.09632577255793053
6,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.16440989294484906,0.22637086665147058,0.16704771521840864,0.09925177437634018,0.0784734194518047,0.07240424381941289,0.14350634137757284,0.04853574616014102,0.0,0.0
6,RACT,0.2,0.3,100,0.0824383189385781,0.07504371556602898,0.05287703819397992,0.045700071395534406,0.03707154496972171,0.023467975361672177,0.03661196937477547,0.14086491441570298,0.11936486302060013,0.028825591158863045,0.0194365511115038,0.027462754971212415,0.11700863111594229,0.06408454205389486,0.025992796419552832,0.10374872193243692
6,RACT,0.4,0.3,100,0.09086662005872782,0.07072412984748055,0.04689843350658587,0.06145751716197397,0.04582517341013116,0.018175663030013542,0.03796694450295478,0.14717460812824049,0.12216328179092596,0.022403687418292993,0.012710206601182862,0.030502465115327643,0.11297700209500015,0.06968000915968171,0.01626377751658411,0.09421048065689643
6,RACT,0.6,0.3,100,0.09199589142615923,0.10836205726470499,0.057429737093180507,0.05937026717989336,0.05426808818665234,0.0336105450988882,0.03026749356218709,0.12845048109613674,0.08408973951454625,0.023673633981959367,0.01641363801819541,0.033060751145740606,0.09598813978063406,0.05761851125466852,0.023211477752244056,0.1021895476442093
6,RACT,0.8,0.3,100,0.11792192868704196,0.1004314697074855,0.07863311310039907,0.07065716589273677,0.04126767228476867,0.0434785724199569,0.029308096173960692,0.12996375445835712,0.08541101700504296,0.03394091940459607,0.012629038886236933,0.02442094486345425,0.10004101514233102,0.0413436049312391,0.01953486972369893,0.0710168173186941
6,RACT,1.0,0.3,100,0.13070298815229225,0.10622928231883032,0.08301657446505019,0.061166360431441885,0.05433786474804557,0.04387015539136668,0.0357568914440364,0.12709042532716666,0.08955483808579238,0.027827158064278667,0.013452132440404753,0.0347502891503475,0.10989156327216638,0.03339388623560958,0.021958001556069612,0.027001588917100992
6,Baseline,0.0,0.3,400,0.06759435629967647,0.05578448319264218,0.045494502073013324,0.047693123064879356,0.04386676985249585,0.01933341300218175,0.04307281788841767,0.14496935413919376,0.11832972885805834,0.049148148059552955,0.027552995419823735,0.031070611206327158,0.10864815083845038,0.0736336713794907,0.02642051395296163,0.0973873607728348
6,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.157685930913936,0.23837808028933463,0.15957599631045513,0.1044328281593846,0.07915163781303085,0.07216318353104689,0.1302527614231362,0.05835958155967576,0.0,0.0
6,RACT,0.2,0.3,400,0.08216220638135535,0.06785710813989103,0.0466446539514241,0.05095374090481631,0.03919206119598966,0.025916565197057238,0.03927437989755219,0.14617817153669246,0.11548425003010737,0.030275532883103928,0.016688174678134035,0.03315151087508861,0.10988852621799478,0.06557510113945178,0.02175507910500824,0.10900293786633279
6,RACT,0.4,0.3,400,0.08514360274530611,0.06144418472195737,0.05156648134299159,0.05635044356925435,0.04436137633292053,0.024361024628235257,0.0384726412187531,0.13862882895546827,0.11631835363624378,0.02648909659957964,0.012791753459698204,0.038218127909770354,0.12213996516299103,0.06956318070840443,0.01968007220500562,0.09447086680342037
6,RACT,0.6,0.3,400,0.11799377124750392,0.0819214083182651,0.0666454586162937,0.06005145636233029,0.055472480788156295,0.030660918022365594,0.03369176037814778,0.13520144692915803,0.08964352334432077,0.02222794899709256,0.013375327332349652,0.029921388241430993,0.09301534396007621,0.05407968854425012,0.02004619697119079,0.09605188194706829
