Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
7,RACT,0.04,0.3,100,0.6984304932735426,0.7071716781490781,0.7994034302759134,11.17394208908081,0.4799648064338911,0.9782886334610472,0.41890166028097064,0.4906167668899958,0.4899103139013453,1.3002610966057442,0.5282831318417854
7,RACT,0.06,0.3,100,0.6939461883408071,0.6956517073380122,0.7976278724981467,8.096589088439941,0.3391843371261658,0.9987357774968394,0.5512010113780025,0.3396136843883508,0.602017937219731,1.1582278481012658,0.5242642613239152
7,RACT,0.08,0.3,100,0.6939461883408071,0.7029328439894403,0.7955056179775282,8.985377073287964,0.3395386406016011,0.9987129987129987,0.5637065637065637,0.33997619039619076,0.6199551569506727,1.0721649484536082,0.5243523288637365
7,RACT,0.1,0.3,100,0.7107623318385651,0.711592943145966,0.8048411497730711,8.80019998550415,0.27001638001485845,1.0,0.6518324607329843,0.27001638001485845,0.7017937219730942,1.049738219895288,0.5247715457174488
7,Baseline,0.0,0.3,400,0.6917040358744395,0.7212564119073681,0.7988295537673737,40.208147048950195,0.37543532065861335,0.4919653893695921,0.06427688504326329,0.7631336040523072,0.15134529147982068,1.9321608040201006,0.508336135332949
7,Baseline (OAF),0.0,0.3,400,0.6412556053811659,0.5533824823471337,0.7671033478893742,7.432814836502075,0.5083175482473385,1.0,0.25612745098039214,0.5083175482473385,0.3195067264573991,1.338235294117647,0.5041694959128286
7,RACT,0.02,0.3,400,0.6894618834080718,0.7139055222887558,0.7976625273922572,36.0042610168457,0.32010726656294586,0.6226880394574599,0.2379778051787916,0.5140732538268299,0.3071748878923767,1.378217821782178,0.5103015060721162
7,RACT,0.04,0.3,400,0.6917040358744395,0.7176238920009443,0.7970479704797049,39.41752600669861,0.4584865847237015,0.9774153074027604,0.41405269761606023,0.4690806264759822,0.476457399103139,1.2785622593068036,0.5268319441974041
7,RACT,0.06,0.3,400,0.6984304932735426,0.7174763376472861,0.8,39.5749409198761,0.3288258623335669,0.9987293519695044,0.5565438373570522,0.32924421584798613,0.608744394618834,1.118320610687023,0.5243355058607522
7,RACT,0.08,0.3,400,0.6860986547085202,0.7143964758654733,0.7925925925925925,38.32832598686218,0.30312164871412056,1.0,0.5921717171717171,0.30312164871412056,0.6378923766816144,1.0707070707070707,0.5243666304075251
7,RACT,0.1,0.3,400,0.6939461883408071,0.7172268366492821,0.796420581655481,39.707106828689575,0.2799784643780956,1.0,0.6309067688378033,0.2799784643780956,0.6760089686098655,1.0434227330779056,0.5249002598202028
8,Baseline,0.0,0.3,100,0.7208520179372198,0.7822392848711179,0.8143176733780759,9.928229093551636,0.3256015242452832,0.41762452107279696,0.05108556832694764,0.779651356220357,0.1670403587443946,1.8685015290519877,0.5069695237398775
8,Baseline (OAF),0.0,0.3,100,0.6334080717488789,0.6018339664756508,0.7642393655371305,1.3485100269317627,0.48680701487597317,1.0,0.2255729794933655,0.48680701487597317,0.28026905829596416,1.563329312424608,0.5102914210922828
8,RACT,0.02,0.3,100,0.6984304932735426,0.7553039083124073,0.802930402930403,7.6284120082855225,0.49771537786385767,0.7087980173482032,0.13506815365551425,0.7021963460421908,0.21748878923766812,1.7674825174825175,0.5196277366543376
8,RACT,0.04,0.3,100,0.702914798206278,0.7599129697594059,0.8020911127707244,10.88213300704956,0.2799592186261741,1.0,0.6312419974391805,0.2799592186261741,0.6771300448430493,1.1498079385403328,0.5165465658357562
8,RACT,0.06,0.3,100,0.702914798206278,0.7623999313201554,0.802386278896346,8.713243961334229,0.31928779591180734,1.0,0.5836526181353767,0.31928779591180734,0.6345291479820627,1.0945083014048531,0.5153458912881169
8,RACT,0.08,0.3,100,0.7130044843049327,0.755955830274934,0.8072289156626506,8.629063129425049,0.3352174892326533,1.0,0.577922077922078,0.3352174892326533,0.6356502242152466,1.0974025974025974,0.5149258822098722
8,RACT,0.1,0.3,100,0.7219730941704036,0.7554863391496578,0.8106870229007633,9.363628625869751,0.2984794173835877,1.0,0.625,0.2984794173835877,0.6838565022421524,1.0890957446808511,0.5150039571780919
8,Baseline,0.0,0.3,400,0.7163677130044843,0.7832265576374133,0.8127313101406366,37.41462230682373,0.33135583883377473,0.43253467843631777,0.05296343001261034,0.7660792425515551,0.15807174887892372,1.9883381924198251,0.5079971987550053
8,Baseline (OAF),0.0,0.3,400,0.6356502242152466,0.6110225784989161,0.765003615328995,8.026639223098755,0.4844432448330727,1.0,0.25212121212121213,0.4844432448330727,0.3082959641255605,1.4303030303030304,0.5069591549621248
8,RACT,0.02,0.3,400,0.7130044843049327,0.7672155688622755,0.8106508875739645,37.48754167556763,0.5686210248833533,0.8904282115869018,0.2216624685138539,0.6385927775917718,0.3071748878923767,1.7015558698727016,0.5253298416160741
8,RACT,0.04,0.3,400,0.7062780269058296,0.7640713197261392,0.8059259259259259,37.73036217689514,0.34752281548430153,0.9987373737373737,0.5492424242424242,0.3479621616479985,0.5997757847533632,1.1188369152970923,0.5154942815529251
8,RACT,0.06,0.3,400,0.7141255605381166,0.7682430837250231,0.8089887640449439,37.9417450428009,0.365871982298565,0.9987129987129987,0.5341055341055341,0.3663434668118364,0.594170403587444,1.1494845360824741,0.5155511010447995
8,RACT,0.08,0.3,400,0.7152466367713004,0.7677494473418753,0.8075757575757576,37.752270221710205,0.2847872605536917,1.0,0.6351706036745407,0.2847872605536917,0.6883408071748879,1.0853018372703411,0.5157385173418325
8,RACT,0.1,0.3,400,0.7051569506726457,0.7670653317021869,0.8018085908063299,40.79558992385864,0.3076049606598308,1.0,0.6124837451235371,0.3076049606598308,0.6659192825112108,1.081924577373212,0.5149074256432195
9,Baseline,0.0,0.3,100,0.6928251121076233,0.725551585002039,0.8,10.367658853530884,0.21548719991358478,0.28448275862068967,0.038177339901477834,0.757470157271995,0.12443946188340804,2.034632034632035,0.5011848935328037
9,Baseline (OAF),0.0,0.3,100,0.6647982062780269,0.6102606614727535,0.7815924032140249,2.0353879928588867,0.4956342752668507,1.0,0.2589395807644883,0.4956342752668507,0.32623318385650224,1.473489519112207,0.5052104254980104
